# Wire-capture probe list — read by capture.sh (review F-11 remediation).
# Tab-separated columns:
#   id	method	user	expect_legacy	expect_port	path	body
# - id: unique probe name (no spaces); becomes <id>.json in the capture dir.
# - user: A | B (X-Okapi-User-Id + tenant header) | notenant (tenant header deliberately omitted).
# - expect_legacy / expect_port: HTTP status capture.sh asserts for that side,
#   or * = not yet pinned (recorded in the manifest, cross-run divergence still
#   caught by diff-runs.sh; pin after the first legacy baseline run).
# - path: URL-encoded request path ({DASH} is replaced by the "Migration Board" dashboard id).
# - body: request body for POST/PUT, or - for none. May be deliberately malformed.
# Append new probe rows (filter/perPage/sort matrices, error probes) here — no script change needed.
#
# --- The 13 M4 endpoints ---
refdata-categories	GET	A	200	200	/servint/refdata?perPage=100&sort=desc%3Basc	-
refdata-lookup-checkdigit	GET	A	200	200	/servint/refdata/NumberGeneratorSequence/checkDigitAlgo?perPage=100&sort=value%3Basc	-
numgen	GET	A	200	200	/servint/numberGenerators?perPage=100&sort=code%3Basc	-
numgen-sequences	GET	A	200	200	/servint/numberGeneratorSequences?perPage=100&sort=code%3Basc	-
my-dashboards-A	GET	A	200	200	/servint/dashboard/my-dashboards	-
my-dashboards-B	GET	B	200	200	/servint/dashboard/my-dashboards	-
dashboard-users	GET	A	200	200	/servint/dashboard/{DASH}/users	-
dashboard-widgets	GET	A	200	200	/servint/dashboard/{DASH}/widgets	-
dashboard-displaydata	GET	A	200	200	/servint/dashboard/{DASH}/displayData	-
widget-types	GET	A	200	200	/servint/widgets/types?perPage=100&sort=name%3Basc	-
widget-defs	GET	A	200	200	/servint/widgets/definitions?perPage=100&sort=name%3Basc	-
# D-1: dead legacy endpoint — legacy 500 (NPE), port 404 (route never declared).
my-widgets-A	GET	A	500	404	/servint/widgets/instances/my-widgets	-
settings	GET	A	200	200	/servint/settings/appSettings?perPage=100&sort=key%3Basc	-
#
# --- Review F-04 probes: kiwt filter / paging / sort matrix (legacy statuses measured by the review) ---
f04-filter-nextvalue-gt5	GET	A	200	200	/servint/numberGeneratorSequences?filters=nextValue%3E5&perPage=100&sort=code%3Basc	-
f04-perpage-0	GET	A	200	200	/servint/numberGenerators?perPage=0&sort=code%3Basc	-
f04-perpage-101	GET	A	200	200	/servint/numberGenerators?perPage=101&sort=code%3Basc	-
f04-bad-sort	GET	A	200	200	/servint/numberGenerators?sort=noSuchProperty%3Basc&perPage=100	-
#
# --- Review F-14 probes: error and header handling (port statuses pinned to the stable
# --- mappings D-22..D-25 / ErrorEnvelopeMatrixIT; legacy statuses pinned from
# --- docs/migration/evidence/r13-legacy/observations.md) ---
f14-malformed-json	POST	A	500	400	/servint/numberGenerators	{"code":"broken"
